row_number,store_code,id,price,availability
271,1,51681,10,in_stock
272,1,304569,30,in_stock
273,1,172,15,in_stock
274,1,939,30,in_stock
275,1,12052,30,in_stock
276,1,9450,25,out_of_stock
277,1,108,60,out_of_stock
278,1,10070,30,out_of_stock
279,1,53965,60,in_stock
280,1,8244,20,out_of_stock
281,1,2010,25,in_stock
282,1,9295,25,in_stock
283,1,9610,20,out_of_stock
284,1,51944,45,in_stock
285,1,9293,25,in_stock
286,1,59879,35,in_stock
287,1,59652,50,in_stock
288,1,10137,25,out_of_stock
289,1,59759,50,in_stock
290,1,9333,25,out_of_stock
291,1,9265,30,out_of_stock
292,1,10134,20,out_of_stock
293,1,10132,20,out_of_stock
294,1,59988,25,out_of_stock
295,1,55160,10,in_stock
296,1,53211,5,in_stock
297,1,8104,5,in_stock
298,1,108103,5,in_stock
299,1,14637,10,out_of_stock
300,1,3424,10,out_of_stock
301,1,44345,50,in_stock
302,1,4959,85,in_stock
303,1,9169,40,in_stock
304,1,150652,75,out_of_stock
305,1,10274,70,in_stock
306,1,10003,70,in_stock
307,1,10236,35,in_stock
308,1,1154,40,in_stock
309,1,9988,55,out_of_stock
310,1,10175,90,in_stock
311,1,10174,90,in_stock
312,1,9443,65,out_of_stock
313,1,43173,25,out_of_stock
314,1,54991,15,in_stock
315,1,11985,10,in_stock
316,1,140,35,in_stock
317,1,1129,20,in_stock
318,1,9104,15,out_of_stock
319,1,580,20,in_stock
320,1,51078,85,in_stock
321,1,9861,20,in_stock
322,1,131,20,in_stock
323,1,172,15,in_stock
324,1,939,30,in_stock
325,1,108,60,out_of_stock
326,1,8244,20,out_of_stock
327,1,9610,20,out_of_stock
328,1,51944,45,in_stock
329,1,59652,50,in_stock
330,1,9333,25,out_of_stock
331,1,53211,5,in_stock
332,1,8104,5,in_stock
333,1,4959,85,in_stock
334,1,10003,70,in_stock
335,1,1154,40,in_stock
336,1,9443,65,out_of_stock
337,1,43173,25,out_of_stock
338,1,54991,15,in_stock
339,1,11985,10,in_stock
340,1,,5,
341,1,,65,
342,1,,60,
343,1,,65,
344,1,,65,
345,1,,45,
346,1,,45,
347,1,,45,
